full_name,element_type,total_points,minutes_points,bonus,goals_scored_points,assists_points,penalty_misses_points,own_goals_points,goals_conceded_points,saves_points,penalty_saves_points,clean_sheet_points,yellow_cards_points,red_cards_points
Kaine Kesler-Hayden,DEF,3,3,0,0,0,0,0,0,0,0,0,0,0
Morgan Rogers,MID,35,18,0,15,3,0,0,0,0,0,2,-3,0
Joe Gauci,GK,0,0,0,0,0,0,0,0,0,0,0,0,0
Finley Munroe,DEF,1,1,0,0,0,0,0,0,0,0,0,0,0
Kadan Young,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Lander Emery,GK,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaidon Anthony,MID,3,4,0,0,0,0,0,0,0,0,0,-1,0
Philip Billing,MID,60,42,3,10,9,0,0,0,0,0,2,-3,-3
David Brooks,MID,23,14,2,5,3,0,0,0,0,0,0,-1,0
Ryan Christie,MID,90,68,5,0,15,0,0,0,0,0,8,-6,0
Lewis Cook,MID,77,63,5,0,9,0,0,0,0,0,8,-5,-3
Siriki Dembélé,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Fredericks,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0
James Hill,DEF,5,5,0,0,0,0,0,0,0,0,0,0,0
Lloyd Kelly,DEF,48,38,5,0,3,0,0,-12,0,0,16,-2,0
Gavin Kilkenny,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin Kluivert,MID,100,54,2,35,3,0,0,0,0,0,11,-5,0
Jamal Lowe,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Emiliano Marcondes,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Mepham,DEF,16,16,0,0,3,0,0,-5,0,0,4,-2,0
Kieffer Moore,FWD,14,8,2,4,0,0,0,0,0,0,0,0,0
Norberto Murara Neto,GK,110,64,14,0,0,0,0,-21,25,5,28,-5,0
Dango Ouattara,MID,56,40,3,5,6,0,0,0,0,0,5,-3,0
Ben Pearson,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Darren Randolph,GK,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Rothwell,MID,13,13,0,0,0,0,0,0,0,0,0,0,0
Antoine Semenyo,FWD,107,55,14,32,12,0,0,0,0,0,0,-6,0
Marcos Senesi,DEF,102,55,13,24,15,0,0,-16,0,0,24,-13,0
Adam Smith,DEF,80,52,4,0,9,0,0,-11,0,0,32,-6,0
Dominic Solanke,FWD,175,75,20,76,9,-2,0,0,0,0,0,-3,0
Marcus Tavernier,MID,89,52,5,15,12,0,0,0,0,0,8,-3,0
Hamed Traorè,MID,3,3,0,0,0,0,0,0,0,0,0,0,0
Mark Travers,GK,19,8,2,0,0,0,0,-2,3,0,8,0,0
Illia Zabarnyi,DEF,84,74,3,6,0,0,0,-26,0,0,32,-5,0
Milos Kerkez,DEF,59,49,1,0,6,0,-2,-12,0,0,24,-4,-3
Ionuț Radu,GK,2,4,0,0,0,0,0,-3,1,0,0,0,0
Ben Greenwood,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0
Max Aarons,DEF,28,33,0,0,3,0,0,-15,0,0,8,-1,0
Alex Scott,MID,41,30,3,5,3,0,0,0,0,0,3,-3,0
Tyler Adams,MID,5,4,1,0,0,0,0,0,0,0,0,0,0
Luis Sinisterra,MID,43,24,2,10,6,0,0,0,0,0,1,0,0
Romain Faivre,MID,4,5,0,0,0,0,0,0,0,0,0,-1,0
Max Kinsey,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0
Enes Ünal,FWD,40,18,3,8,12,0,0,0,0,0,0,-1,0
Dominic Sadi,MID,1,1,0,0,0,0,0,0,0,0,0,0,0
Michael Dacosta Gonzalez,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Callan McKenna,GK,0,0,0,0,0,0,0,0,0,0,0,0,0
Kristoffer Ajer,DEF,68,48,3,12,3,0,0,-13,0,0,20,-5,0
Ellery Balcombe,GK,0,0,0,0,0,0,0,0,0,0,0,0,0
Shandon Baptiste,MID,19,12,0,5,3,0,0,0,0,0,0,-1,0
Mads Bech Sørensen,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0
Mads Bidstrup,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergi Canós Tenés,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan Collins,DEF,84,61,8,6,3,0,0,-19,0,0,28,-3,0
Matthew Cox,GK,0,0,0,0,0,0,0,0,0,0,0,0,0
Mikkel Damsgaard,MID,45,30,0,0,12,0,0,0,0,0,5,-2,0
Josh Dasilva,MID,3,3,0,0,0,0,0,0,0,0,0,0,0
Halil Dervişoğlu,FWD,0,0,0,0,0,0,0,0,0,0,0,0,0
Mark Flekken,GK,119,73,12,0,3,0,0,-23,29,0,28,-3,0
Charlie Goode,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0
Rico Henry,DEF,13,9,0,0,3,0,0,-2,0,0,4,-1,0
Aaron Hickey,DEF,17,18,0,0,0,0,0,-4,0,0,8,-5,0
Vitaly Janelt,MID,93,74,1,5,12,0,0,0,0,0,9,-8,0
Mathias Jensen,MID,98,57,10,15,12,0,0,0,0,0,9,-5,0
Keane Lewis-Potter,MID,73,45,1,15,6,0,0,0,0,0,6,0,0
Bryan Mbeumo,MID,127,46,12,45,21,0,0,0,0,0,5,-2,0
Ben Mee,DEF,39,31,3,12,3,0,0,-10,0,0,4,-1,-3
Christian Nørgaard,MID,74,60,3,10,3,0,0,0,0,0,6,-8,0
Frank Onyeka,MID,39,35,0,5,6,0,0,0,0,0,1,-8,0
Ethan Pinnock,DEF,77,57,5,12,0,0,0,-16,0,0,20,-1,0
Mads Roerslev Rasmussen,DEF,75,55,3,6,6,0,0,-14,0,0,20,-1,0
Kevin Schade,MID,33,14,2,10,6,0,0,0,0,0,1,0,0
Thomas Strakosha,GK,4,3,0,0,0,0,0,-1,2,0,0,0,0
Ivan Toney,FWD,57,33,4,16,9,0,0,0,0,0,0,-5,0
Ryan Trevitt,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Yoane Wissa,FWD,131,63,15,48,12,0,0,0,0,0,0,-7,0
Yegor Yarmoliuk,MID,33,31,0,0,0,0,0,0,0,0,4,-2,0
Mathias Jorgensen,DEF,29,26,3,6,0,0,0,-10,0,0,8,-4,0
Neal Maupay,FWD,76,45,6,24,9,0,0,0,0,0,0,-8,0
Sergio Reguilón,DEF,74,42,14,0,18,0,0,-10,0,0,20,-7,-3
Michael Olakigbe,MID,8,8,0,0,0,0,0,0,0,0,0,0,0
Ethan Brierley,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Saman Ghoddos,MID,26,26,0,5,0,0,0,0,0,0,0,-5,0
Ji-Soo Kim,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0
Valintino Adedokun,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0
Myles Peart-Harris,MID,3,3,0,0,0,0,0,0,0,0,0,0,0
Vincent Angelini,GK,0,0,0,0,0,0,0,0,0,0,0,0,0
Hákon Valdimarsson,GK,0,0,0,0,0,0,0,0,0,0,0,0,0
Benjamin Fredrick,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0
Benjamin Arthur,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0
Yunus Konak,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Simon Adingra,MID,97,55,8,30,3,0,0,0,0,0,4,-3,0
Steven Alzate,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Yasin Ayari,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Facundo Buonanotte,MID,57,39,1,15,3,0,0,0,0,0,6,-7,0
Aaron Connolly,FWD,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahmoud Dahoud,MID,14,14,0,0,3,0,0,0,0,0,1,-1,-3
Lewis Dunk,DEF,89,64,11,18,3,0,0,-18,0,0,20,-6,-3
Julio Enciso,MID,20,16,0,0,6,0,0,0,0,0,0,-2,0
Pervis Estupiñán,DEF,57,31,7,12,9,0,-2,-8,0,0,12,-4,0
Evan Ferguson,FWD,69,38,5,24,3,0,0,0,0,0,0,-1,0
Billy Gilmour,MID,61,53,4,0,9,0,0,0,0,0,6,-8,-3
Pascal Groß,MID,153,70,29,20,33,0,0,0,0,0,7,-6,0
João Pedro Junqueira de Jesus,FWD,104,51,12,36,9,-2,0,0,0,0,0,-2,0
Michał Karbownik,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0
Kacper Kozłowski,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Lallana,MID,30,27,0,0,3,0,0,0,0,0,2,-2,0
